pass_id,event_time_seconds,from_global_id,to_global_id,from_team_id,to_team_id,model_outcome,distance_m,human_is_pass,human_outcome,human_note
1,37.167,32,1,team_1,team_1,active_directed_pass_candidate,7.505,,,
5,130.2,11,0,team_1,team_1,active_directed_pass_candidate,7.962,,,
9,188.967,1,15,team_1,team_1,active_directed_pass_candidate,5.804,,,
13,223.3,3,19,team_1,team_1,active_directed_pass_candidate,0.661,,,
17,446.067,0,19,team_1,team_1,active_directed_pass_candidate,0.659,,,
21,560.867,25,10,team_0,team_0,active_directed_pass_candidate,0.909,,,
25,631.933,1,8,team_1,team_1,active_directed_pass_candidate,3.248,,,
29,807.467,3,19,team_1,team_1,active_directed_pass_candidate,2.681,,,
33,934.0,38,1,team_1,team_1,active_directed_pass_candidate,3.377,,,
37,992.667,5,12,team_0,team_0,active_directed_pass_candidate,0.764,,,
41,1121.767,23,15,team_1,team_1,active_directed_pass_candidate,2.972,,,
45,1238.2,12,20,team_0,team_0,active_directed_pass_candidate,4.434,,,
49,1309.7,25,10,team_0,team_0,active_directed_pass_candidate,1.018,,,
53,1425.533,11,0,team_1,team_1,active_directed_pass_candidate,8.98,,,
57,1557.133,32,3,team_1,team_1,active_directed_pass_candidate,1.667,,,
61,1616.5,1,32,team_1,team_1,active_directed_pass_candidate,4.721,,,
65,1699.833,4,2,team_0,team_0,active_directed_pass_candidate,2.767,,,
69,1807.533,6,16,team_1,team_1,active_directed_pass_candidate,4.949,,,
73,1945.633,1,0,team_1,team_1,active_directed_pass_candidate,2.701,,,
77,1984.567,26,6,team_1,team_1,active_directed_pass_candidate,1.252,,,
