pass_id,transition_id,from_global_id,to_global_id,team_id,release_frame_proc,receive_frame_proc,receive_confirmed_frame_proc,transfer_gap_frames,start_x_m,start_y_m,end_x_m,end_y_m,dx_m,dy_m,distance_m,direction_angle_deg,transfer_speed_mps,classification,intent_proxy,release_time_seconds,receive_time_seconds
0,0,23,3,team_1,42,49,51,6,22.45594633024265,8.692640279986309,22.97792480246137,8.303866353887718,0.52197847221872,-0.3887739260985903,0.651,-36.67904869380252,2.789360331785953,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1.4,1.633
1,20,32,1,team_1,1077,1115,1117,37,16.3336799454394,1.7305414334993972,12.04043466121966,7.885934618402613,-4.29324528421974,6.155393184903216,7.505,124.89488756947529,5.924778844950139,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,35.9,37.167
2,21,32,16,team_1,1216,1256,1258,39,20.034449590388725,3.9306284702997027,24.379716424076133,2.946573376873555,4.345266833687408,-0.9840550934261478,4.455,-12.760305259955972,3.3414758579254284,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,40.533,41.867
3,23,25,2,team_0,1283,1303,1305,19,23.302003620569284,4.423461087880781,21.96515173066669,4.728428494267966,-1.3368518899025936,0.3049674063871848,1.371,167.14938794168498,2.0567937943831396,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,42.767,43.433
4,27,14,5,team_0,3072,3103,3105,30,25.048040826250904,14.11856138114234,26.007990020792604,13.363837420136054,0.9599491945417,-0.7547239610062864,1.221,-38.17486843840067,1.1817197833164277,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,102.4,103.433
5,31,11,0,team_1,3877,3906,3908,28,12.04989160303112,7.960477123350736,13.272997315774036,15.828260195481697,1.2231057127429157,7.867783072130961,7.962,81.16367219557881,8.236847567293955,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,129.233,130.2
6,43,1,23,team_1,4433,4476,4478,42,23.604525965409426,9.152828481645654,27.24044511457613,4.2577271252173645,3.6359191491667033,-4.89510135642829,6.098,-53.396258045784144,4.25420816153978,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,147.767,149.2
7,44,25,12,team_0,4642,4677,4679,34,35.36145715502083,4.691976483230274,37.73105320347973,7.444035165670495,2.3695960484589023,2.7520586824402207,3.632,49.270670029861,3.1128346792633357,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,154.733,155.9
8,52,23,1,team_1,5503,5538,5540,34,23.39879327793692,14.400267450315416,21.276678379801705,13.529484698600383,-2.122114898135216,-0.8707827517150335,2.294,-157.6898314682222,1.9661359218517014,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,183.433,184.6
9,53,1,15,team_1,5637,5669,5671,31,12.921241856582574,12.35276392641464,15.556611666370868,7.181164074332979,2.635369809788294,-5.171599852081662,5.804,-62.99729043729184,5.441589442622956,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,187.9,188.967
10,54,15,11,team_1,5737,5779,5781,41,20.576228181283582,6.262509333454813,27.180821467371306,4.246430842452056,6.604593286087724,-2.016078491002757,6.905,-16.975019263542272,4.9324635230670735,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,191.233,192.633
11,55,22,20,team_0,6375,6409,6411,33,22.248384805651078,11.285784058089813,21.005881967753886,10.807110797129692,-1.2425028378971916,-0.47867326096012164,1.332,-158.93085903692506,1.1748692239845244,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,212.5,213.633
12,57,17,5,team_0,6602,6636,6638,33,22.456191766774353,11.434250231640988,27.753951329167922,13.47291491026376,5.297759562393569,2.038664678622773,5.676,21.047542696785452,5.00865764703355,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,220.067,221.2
13,59,3,19,team_1,6694,6699,6701,4,23.729432048159566,12.449162279749553,23.164783476349637,12.792616511876545,-0.5646485718099292,0.34345423212699266,0.661,148.6894427315037,3.96540004181995,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,223.133,223.3
14,63,18,20,team_0,7368,7410,7412,41,34.497662929953066,12.381377310197871,32.83864553546424,19.30206742798501,-1.6590173944888278,6.920690117787137,7.117,103.48048149875363,5.08340087941561,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,245.6,247.0
15,77,19,0,team_1,12764,12791,12793,26,18.49338873104294,12.135587026790494,20.597037413584797,17.885396721274528,2.1036486825418557,5.749809694484034,6.123,69.90424352280603,6.802836128087183,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,425.467,426.367
16,94,1,0,team_1,13336,13370,13372,33,18.843001968001634,14.297320886110693,16.68091931056428,12.441743272195314,-2.1620826574373524,-1.8555776139153792,2.849,-139.36261232344378,2.5139735309532747,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,444.533,445.667
17,95,0,19,team_1,13377,13382,13384,4,16.111520455976446,11.97928088901901,15.516489899727226,11.695475915418523,-0.5950305562492204,-0.2838049736004873,0.659,-154.50078781364434,3.9554820860146336,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,445.9,446.067
18,96,19,11,team_1,13399,13443,13445,43,13.6746231773955,10.928471530896637,16.52621434225509,6.160928193572269,2.8515911648595917,-4.767543337324368,5.555,-59.11526304220986,3.78768512628154,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,446.633,448.1
19,97,16,35,team_1,15130,15161,15163,30,40.00242142250686,3.4812225726954793,41.66308578375595,-0.07057565434309372,1.66066436124909,-3.551798227038573,3.921,-64.94128092457021,3.794372454065651,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,504.333,505.367
20,98,11,1,team_1,15291,15293,15295,1,29.378703979994736,6.308977706830334,28.50795686272895,8.701818592791389,-0.8707471172657861,2.3928408859610544,2.546,109.9962841112828,38.19521973682768,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,509.7,509.767
21,99,25,10,team_0,16821,16826,16828,4,15.536049496478423,3.177313788828753,16.15837759525601,3.84002031476573,0.6223280987775865,0.6627065259369771,0.909,46.79975889640245,5.454630993359037,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,560.7,560.867
22,107,10,22,team_0,17855,17856,17858,0,25.72982655264422,8.286531553486407,25.72298994184744,8.881019307240999,-0.006836610796778331,0.5944877537545921,0.595,90.65887257707334,17.835811889292575,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,595.167,595.2
23,111,22,5,team_0,17892,17927,17929,34,28.01710802198384,11.851614517294747,32.4239017590289,12.42195654073855,4.40679373704506,0.5703420234438035,4.444,7.374419410036253,3.8087556442544312,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,596.4,597.567
24,112,10,12,team_0,18152,18197,18199,44,31.529604586941886,12.658448274716992,35.70118360099936,11.386842593332974,4.171579014057471,-1.2716056813840186,4.361,-16.952583664139727,2.9073892434777533,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,605.067,606.567
25,114,1,8,team_1,18916,18958,18960,41,23.92319383633871,6.310963043096614,26.9536527278862,7.4791611002354035,3.0304588915474895,1.168198057138789,3.248,21.08092940406472,2.319875061957626,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,630.533,631.933
26,130,15,3,team_1,20448,20486,20488,37,28.199544859802437,4.413200096835417,28.237760931778677,3.824404730100443,0.03821607197624033,-0.5887953667349737,0.59,-86.28639634539944,0.46581653715703814,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,681.6,682.867
27,133,25,13,team_0,21199,21219,21221,19,37.006592656425624,7.906245905096106,35.77083492838072,9.139026566894357,-1.2357577280449021,1.2327806617982509,1.746,135.06909888429095,2.618282256687478,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,706.633,707.3
28,145,38,3,team_1,24174,24182,24184,7,24.98197226057708,19.03193754924585,26.974706225083672,17.496128437783266,1.9927339645065913,-1.5358091114625836,2.516,-37.62160441693277,9.434584360988268,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,805.8,806.067
29,146,3,19,team_1,24187,24224,24226,36,27.016303169214115,17.18696861736702,26.54836242551159,14.547207773623336,-0.46794074370252403,-2.6397608437436855,2.681,-100.05219002276483,2.173714957797169,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,806.233,807.467
30,147,19,8,team_1,24229,24245,24247,15,26.54601665479607,14.22742210014147,26.624646169665237,13.73267188240107,0.07862951486916714,-0.49475021774039973,0.501,-80.96963770630721,0.9392989837557635,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,807.633,808.167
31,148,11,19,team_1,25105,25141,25143,35,28.342056568767028,5.6157641515543775,25.596648677127988,4.612165847806735,-2.74540789163904,-1.0035983037476424,2.923,-159.91984881859585,2.4359110272075974,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,836.833,838.033
32,149,19,11,team_1,25163,25209,25211,45,24.518164130816764,4.324540357063827,25.898902096891156,1.522740332371702,1.380737966074392,-2.8018000246921253,3.124,-63.76574247003873,2.037093243798132,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,838.767,840.3
33,152,38,1,team_1,28004,28020,28022,15,28.68893618306945,5.434083746474614,28.71855769593133,8.811420153285999,0.02962151286187975,3.377336406811385,3.377,89.49749034481391,6.332749321149839,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,933.467,934.0
34,158,2,4,team_0,28902,28929,28931,26,36.9203767729205,15.434588238168043,39.75775968472583,13.651576198735208,2.837382911805335,-1.783012039432835,3.351,-32.1452630979865,3.723444860720231,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,963.4,964.3
35,159,20,2,team_0,29594,29615,29617,20,22.777575831314127,10.81373938427803,25.498250641467674,8.607939454508216,2.7206748101535467,-2.205799929769814,3.503,-39.03357364124504,5.003595595491053,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,986.467,987.167
36,160,2,5,team_0,29659,29669,29671,9,27.023962070284725,7.543435728839698,26.20444805455949,6.184847564602745,-0.8195140157252361,-1.3585881642369522,1.587,-121.09880144832927,4.759861888518774,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,988.633,988.967
37,161,5,12,team_0,29759,29780,29782,20,26.707149545177124,6.35116263007316,26.48631076040912,5.619400990410966,-0.22083878476800578,-0.731761639662194,0.764,-106.79332059364428,1.0919416016930503,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,991.967,992.667
38,163,8,16,team_1,29982,29992,29994,9,22.982063875619637,4.649305755175389,24.147611530611687,5.647241040908282,1.16554765499205,0.9979352857328934,1.534,40.56995051839631,4.603192971744106,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,999.4,999.733
39,171,19,0,team_1,33182,33216,33218,33,22.08727765184923,10.99450960438502,16.97189033378475,14.047852751089028,-5.1153873180644815,3.053343146704009,5.957,149.16728327152464,5.256490682626995,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1106.067,1107.2
40,172,0,6,team_1,33262,33288,33290,25,20.639320582718856,14.640082614096405,23.59973671669878,10.023524184493018,2.9604161339799226,-4.616558429603387,5.484,-57.32955471839363,6.327946828355198,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1108.733,1109.6
41,175,23,15,team_1,33620,33653,33655,32,29.03236609874916,1.5442907464526332,26.106693963212134,2.0679844422352205,-2.9256721355370274,0.5236936957825873,2.972,169.85156426811076,2.7019754835617538,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1120.667,1121.767
42,179,19,23,team_1,35973,35990,35992,16,27.616737933154248,12.27437009141314,30.01650563280781,7.961491793312069,2.3997676996535624,-4.3128782981010705,4.936,-60.90760315721933,8.70982100966151,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1199.1,1199.667
43,180,23,6,team_1,35999,36031,36033,31,30.72555830331836,6.590251093665393,31.981353995206913,6.8077959420663525,1.2557956918885544,0.21754484840095945,1.274,9.827964856712175,1.1948431360942604,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1199.967,1201.033
44,184,17,10,team_0,36640,36665,36667,24,41.011089835887404,12.066502680475,38.8917406879289,11.81606139135262,-2.119349147958502,-0.2504412891223815,2.134,-173.26067035656223,2.5609140509512573,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1221.333,1222.167
45,185,12,20,team_0,37108,37146,37148,37,29.614945667485557,10.136235525270806,26.41557939366914,7.066194977387236,-3.199366273816416,-3.0700405478835693,4.434,-136.1817334169058,3.5005919728622135,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1236.933,1238.2
46,186,11,0,team_1,37333,37360,37362,26,12.191924488361142,9.738331371571524,16.34902959015118,17.893109503897843,4.157105101790037,8.154778132326319,9.153,62.98863274460416,10.170274357759194,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1244.433,1245.333
47,187,5,14,team_0,38417,38440,38442,22,27.755472858932045,11.131179724293384,24.74251286500795,11.124271300986678,-3.0129599939240954,-0.006908423306706268,3.013,-179.86862659786496,3.9299581488052127,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1280.567,1281.333
48,191,11,1,team_1,39103,39143,39145,39,11.153520287201971,12.953267918658186,16.274231146729054,6.9499297155518205,5.120710859527083,-6.003338203106366,7.891,-49.536576374956226,5.917958598567767,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1303.433,1304.767
49,194,25,10,team_0,39273,39291,39293,17,20.789844811881345,5.503757825097723,19.781717097444872,5.646523326346292,-1.0081277144364726,0.14276550124856957,1.018,171.9396840333071,1.6969772775288006,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1309.1,1309.7
50,199,23,0,team_1,39807,39834,39836,26,14.426320175034505,12.163013541887281,16.570642045647027,17.9730745509186,2.144321870612522,5.810061009031319,6.193,69.742386178499,6.881261477576749,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1326.9,1327.8
51,200,20,2,team_0,41984,42019,42021,34,32.891428608449736,12.854947526529262,32.752396287640366,7.639369055403116,-0.13903232080937045,-5.215578471126146,5.217,-91.52697906260414,4.472083922511601,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1399.467,1400.633
52,202,0,19,team_1,42144,42159,42161,14,28.083812599095634,13.218240516516897,29.179474320520484,15.527363565793888,1.0956617214248503,2.309123049276991,2.556,64.61600817739914,5.111760504756824,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1404.8,1405.3
53,205,11,0,team_1,42721,42766,42768,44,21.457152890947377,8.080231520849972,20.858112768424654,17.040126793810913,-0.5990401225227231,8.95989527296094,8.98,93.82498524367905,5.986598825555472,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1424.033,1425.533
54,209,24,15,team_1,44945,44974,44976,28,40.15683161895923,2.4687210305285068,37.77208377999648,3.184846820661805,-2.3847478389627526,0.7161257901332982,2.49,163.28529581660052,2.575811882089313,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1498.167,1499.133
55,211,16,23,team_1,45698,45725,45727,26,34.65106977426064,7.450702270288703,32.2786325558214,6.2960406962612625,-2.372437218439238,-1.1546615740274406,2.639,-154.04788379044265,2.931670763261458,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1523.267,1524.167
56,212,23,19,team_1,45872,45890,45892,17,17.229839179761715,3.8342345025032722,18.880113424830377,5.792935870429543,1.6502742450686618,1.9587013679262704,2.561,49.88469300218005,4.26872220428666,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1529.067,1529.667
57,215,32,3,team_1,46686,46714,46716,27,17.624585467358482,-0.3411743667842898,16.108245660387126,0.35193805451027166,-1.5163398069713558,0.6931124212945614,1.667,155.43506308999838,1.7863292208632138,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1556.2,1557.133
58,216,3,0,team_1,46802,46844,46846,41,20.212620810774258,6.074492488270276,22.54534953426955,15.842577380177316,2.3327287234952934,9.76808489190704,10.043,76.56868404772271,7.173402750215356,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1560.067,1561.467
59,217,0,32,team_1,46900,46928,46930,27,27.380725100879754,16.51429162716183,30.11814807406635,7.5558746137826915,2.7374229731865967,-8.958417013379137,9.367,-73.00842278028453,10.036416340959477,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1563.333,1564.267
60,219,20,14,team_0,47047,47052,47054,4,31.38928051171866,9.019895818191987,31.241561264179563,10.020455177719946,-0.14771924753909715,1.0005593595279585,1.011,98.39829049019941,6.0684298042550155,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1568.233,1568.4
61,223,1,32,team_1,48464,48495,48497,30,20.486825131915275,10.598610636651353,23.892490350890462,7.328471546712517,3.4056652189751873,-3.2701390899388354,4.721,-43.836992763656106,4.56917335942802,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1615.467,1616.5
62,224,32,1,team_1,48816,48858,48860,41,32.963064068381925,1.3086447695618568,27.839796068254316,3.8948717309317944,-5.123268000127609,2.5862269613699373,5.739,153.21534436318495,4.099305870612851,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1627.2,1628.6
63,225,4,18,team_0,49071,49080,49082,8,42.13823464739746,14.656820609450262,41.65890460159204,15.398505406776916,-0.47933004580541905,0.7416847973266538,0.883,122.87345054266437,2.943644059471006,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1635.7,1636.0
