global_id,team_id,samples,nearest_center_distance,center_margin,assignment_method
0,team_1,12,0.160601,0.82933,track_level_torso_hsv_kmeans
1,team_1,12,0.141518,0.875626,track_level_torso_hsv_kmeans
2,team_0,12,0.105159,0.897488,track_level_torso_hsv_kmeans
3,team_1,12,0.14304,0.872069,track_level_torso_hsv_kmeans
4,team_0,12,0.112962,0.863998,track_level_torso_hsv_kmeans
5,team_0,12,0.083501,0.919876,track_level_torso_hsv_kmeans
6,team_1,12,0.144489,0.869276,track_level_torso_hsv_kmeans
7,team_2,12,0.466471,0.699224,track_level_torso_hsv_kmeans
8,team_1,12,0.594651,0.452081,track_level_torso_hsv_kmeans
9,team_2,12,0.432394,0.848172,track_level_torso_hsv_kmeans
10,team_0,12,0.073207,0.907649,track_level_torso_hsv_kmeans
11,team_1,12,0.1524,0.858,track_level_torso_hsv_kmeans
12,team_0,12,0.098349,0.859079,track_level_torso_hsv_kmeans
13,team_0,12,0.111311,0.893888,track_level_torso_hsv_kmeans
14,team_0,12,0.138188,0.845779,track_level_torso_hsv_kmeans
15,team_1,12,0.154877,0.861028,track_level_torso_hsv_kmeans
16,team_1,12,0.12077,0.884929,track_level_torso_hsv_kmeans
17,team_0,12,0.10216,0.890945,track_level_torso_hsv_kmeans
18,team_0,12,0.133783,0.826863,track_level_torso_hsv_kmeans
19,team_1,12,0.152701,0.852574,track_level_torso_hsv_kmeans
20,team_0,12,0.219969,0.651689,track_level_torso_hsv_kmeans
21,team_1,12,0.287501,0.843079,track_level_torso_hsv_kmeans
22,team_0,12,0.084185,0.86483,track_level_torso_hsv_kmeans
23,team_1,12,0.322228,0.463743,track_level_torso_hsv_kmeans
24,team_1,12,0.261913,0.823068,track_level_torso_hsv_kmeans
25,team_0,12,0.127281,0.856981,track_level_torso_hsv_kmeans
26,team_1,12,0.10305,0.922741,track_level_torso_hsv_kmeans
27,team_1,12,0.216277,0.909988,track_level_torso_hsv_kmeans
28,team_1,12,0.287862,0.847319,track_level_torso_hsv_kmeans
29,team_0,12,0.13055,0.835335,track_level_torso_hsv_kmeans
30,team_1,12,0.227586,0.85804,track_level_torso_hsv_kmeans
31,team_1,12,0.124289,0.910322,track_level_torso_hsv_kmeans
32,team_1,12,0.190869,0.822996,track_level_torso_hsv_kmeans
33,team_1,12,0.60488,0.497035,track_level_torso_hsv_kmeans
34,team_2,12,0.587156,0.17068,track_level_torso_hsv_kmeans
35,team_1,12,0.11264,0.933098,track_level_torso_hsv_kmeans
36,team_1,12,0.178543,0.912675,track_level_torso_hsv_kmeans
37,team_1,12,0.243777,0.869153,track_level_torso_hsv_kmeans
38,team_1,12,0.460399,0.570655,track_level_torso_hsv_kmeans
