transition_id,from_global_id,to_global_id,from_team_id,to_team_id,release_frame_proc,receive_frame_proc,receive_confirmed_frame_proc,transfer_gap_frames,source_evidence_frames,receiver_evidence_frames,start_x_m,start_y_m,end_x_m,end_y_m,dx_m,dy_m,displacement_m,classification,release_time_seconds,receive_time_seconds
0,23,3,team_1,team_1,42,49,51,6,6,3,22.45594633024265,8.692640279986309,22.97792480246137,8.303866353887718,0.52197847221872,-0.3887739260985903,0.651,same_team_directed_transition,1.4,1.633
1,3,18,team_1,team_0,68,100,102,31,3,4,25.35311321351731,6.713853864660459,27.924854117026236,5.223098378130667,2.5717409035089247,-1.4907554865297925,2.973,opponent_possession_change,2.267,3.333
2,18,10,team_0,team_0,103,104,106,0,4,7,28.070868299551726,5.227306630105345,28.15654811379569,5.1793441750463005,0.08567981424396365,-0.04796245505904473,0.098,same_team_short_or_stationary_transition,3.433,3.467
3,10,18,team_0,team_0,110,111,113,0,7,14,28.437989526703053,5.051745663677077,28.523408584609456,5.040771704853871,0.08541905790640314,-0.010973958823206509,0.086,same_team_short_or_stationary_transition,3.667,3.7
4,18,10,team_0,team_0,124,130,132,5,14,8,28.602166850722888,5.306120791302996,28.68245357036135,5.164005858494309,0.08028671963846179,-0.14211493280868748,0.163,same_team_short_or_stationary_transition,4.133,4.333
5,10,18,team_0,team_0,137,138,140,0,8,8,28.74780591241831,5.361635533285027,28.689740246016786,5.420927721979075,-0.05806566640152511,0.059292188694047177,0.083,same_team_short_or_stationary_transition,4.567,4.6
6,18,10,team_0,team_0,145,148,150,2,8,7,28.6866765152496,5.694665904838871,28.698627925221384,5.7340690929436,0.011951409971782567,0.0394031881047292,0.041,same_team_short_or_stationary_transition,4.833,4.933
7,10,18,team_0,team_0,154,155,157,0,7,3,28.744927124278377,5.925914959746232,28.7314485881336,6.007844613386969,-0.013478536144777564,0.08192965364073679,0.083,same_team_short_or_stationary_transition,5.133,5.167
8,18,3,team_0,team_1,157,166,168,8,3,8,28.728649620040013,6.035909916188085,27.52641999694913,7.160158055509853,-1.2022296230908829,1.124248139321768,1.646,opponent_possession_change,5.233,5.533
9,20,3,team_0,team_1,321,322,324,0,23,3,16.30651049023261,17.310143694570414,16.26914554417294,17.33556541086664,-0.037364946059671666,0.025421716296225583,0.045,opponent_possession_change,10.7,10.733
10,3,20,team_1,team_0,324,325,327,0,3,8,16.137933386441045,17.349871030101337,16.0956555460085,17.391392882451033,-0.042277840432543456,0.041521852349696076,0.059,opponent_possession_change,10.8,10.833
11,20,3,team_0,team_1,332,338,340,5,8,4,15.722871533165529,17.265596064685916,15.485981772873812,17.324072245332957,-0.23688976029171727,0.058476180647041076,0.244,opponent_possession_change,11.067,11.267
12,3,20,team_1,team_0,341,348,350,6,4,40,15.135390080650375,17.678704903199073,14.457513603938063,18.592718771769608,-0.6778764767123118,0.9140138685705352,1.138,opponent_possession_change,11.367,11.6
13,20,0,team_0,team_1,387,388,390,0,40,14,12.09125813409885,21.37003872276307,12.048264688713092,21.36319387693569,-0.04299344538575767,-0.006844845827380652,0.044,opponent_possession_change,12.9,12.933
14,0,13,team_1,team_0,416,417,419,0,12,6,13.17266550177123,21.441827016544917,13.227109546360852,21.45044709893798,0.05444404458962282,0.008620082393061779,0.055,opponent_possession_change,13.867,13.9
15,13,0,team_0,team_1,422,423,425,0,6,6,13.438965321732322,21.464964831422595,13.470603063866296,21.45324759054004,0.031637742133973745,-0.011717240882553881,0.034,opponent_possession_change,14.067,14.1
16,0,13,team_1,team_0,428,429,431,0,6,5,13.654789237775315,21.45491074872251,13.707395590520003,21.462867028326105,0.05260635274468761,0.007956279603593686,0.053,opponent_possession_change,14.267,14.3
17,13,0,team_0,team_1,433,434,436,0,5,3,13.821456457063839,21.478501228352286,13.921075707051237,21.494724127165217,0.09961924998739846,0.01622289881293071,0.101,opponent_possession_change,14.433,14.467
18,0,22,team_1,team_0,788,796,798,7,23,3,14.864851241859258,12.914677425633643,14.560742946765227,13.372367916565327,-0.30410829509403037,0.4576904909316841,0.55,opponent_possession_change,26.267,26.533
19,22,0,team_0,team_1,804,805,807,0,5,6,14.194378827061998,14.299918567582809,14.060858941425172,14.34911232492951,-0.13351988563682582,0.049193757346701616,0.142,opponent_possession_change,26.8,26.833
20,32,1,team_1,team_1,1077,1115,1117,37,4,30,16.3336799454394,1.7305414334993972,12.04043466121966,7.885934618402613,-4.29324528421974,6.155393184903216,7.505,same_team_directed_transition,35.9,37.167
21,32,16,team_1,team_1,1216,1256,1258,39,9,9,20.034449590388725,3.9306284702997027,24.379716424076133,2.946573376873555,4.345266833687408,-0.9840550934261478,4.455,same_team_directed_transition,40.533,41.867
22,16,25,team_1,team_0,1264,1279,1281,14,9,5,23.903714755070325,3.579463260273268,23.40343134679636,4.389874966620914,-0.5002834082739653,0.8104117063476459,0.952,opponent_possession_change,42.133,42.633
23,25,2,team_0,team_0,1283,1303,1305,19,5,4,23.302003620569284,4.423461087880781,21.96515173066669,4.728428494267966,-1.3368518899025936,0.3049674063871848,1.371,same_team_directed_transition,42.767,43.433
24,0,14,team_1,team_0,2982,3026,3028,43,15,4,17.46765277562067,14.702653970765903,22.897414748095567,14.452481318051738,5.429761972474896,-0.25017265271416456,5.436,opponent_possession_change,99.4,100.867
25,14,0,team_0,team_1,3062,3063,3065,0,28,5,24.91814779897982,14.206980671756124,24.890972859386338,14.204514046286386,-0.027174939593482605,-0.002466625469738304,0.027,opponent_possession_change,102.067,102.1
26,0,14,team_1,team_0,3067,3068,3070,0,5,5,24.966753300224187,14.187524317862488,24.98486023811523,14.1599075271121,0.018106937891040786,-0.02761679075038792,0.033,opponent_possession_change,102.233,102.267
27,14,5,team_0,team_0,3072,3103,3105,30,5,19,25.048040826250904,14.11856138114234,26.007990020792604,13.363837420136054,0.9599491945417,-0.7547239610062864,1.221,same_team_directed_transition,102.4,103.433
28,14,13,team_0,team_0,3282,3283,3285,0,26,18,25.471686002420878,14.715040574436873,25.48754949811426,14.621103541160723,0.01586349569338097,-0.09393703327615022,0.095,same_team_short_or_stationary_transition,109.4,109.433
29,13,6,team_0,team_1,3300,3301,3303,0,18,25,25.586795923526598,13.406516237023046,25.589894279305543,13.372669989288696,0.0030983557789454608,-0.033846247734350854,0.034,opponent_possession_change,110.0,110.033
30,6,0,team_1,team_1,3345,3346,3348,0,16,67,24.981716986889126,12.359703726221738,24.955592749969796,12.484236041715473,-0.026124236919329746,0.12453231549373456,0.127,same_team_short_or_stationary_transition,111.5,111.533
31,11,0,team_1,team_1,3877,3906,3908,28,145,17,12.04989160303112,7.960477123350736,13.272997315774036,15.828260195481697,1.2231057127429157,7.867783072130961,7.962,same_team_directed_transition,129.233,130.2
32,20,22,team_0,team_0,4044,4045,4047,0,3,12,30.195015583473868,19.41877856881282,30.255389810478878,19.176563209559788,0.06037422700500983,-0.24221535925303073,0.25,same_team_short_or_stationary_transition,134.8,134.833
33,22,1,team_0,team_1,4056,4076,4078,19,12,27,30.784418939643956,17.855093517087987,31.590783915163595,15.403983462524451,0.8063649755196387,-2.451110054563536,2.58,opponent_possession_change,135.2,135.867
34,1,11,team_1,team_1,4113,4114,4116,0,7,10,31.5875004108712,11.776244923531317,31.53022555148922,11.688739839209834,-0.05727485938198029,-0.0875050843214833,0.105,same_team_short_or_stationary_transition,137.1,137.133
35,11,12,team_1,team_0,4123,4140,4142,16,10,6,31.25536275005255,10.674101059766798,30.677095378316512,9.24732997260519,-0.5782673717360396,-1.4267710871616082,1.54,opponent_possession_change,137.433,138.0
36,12,1,team_0,team_1,4169,4172,4174,2,4,18,30.92644173567454,7.576702827953018,30.39244505396556,8.066410766348378,-0.533996681708981,0.48970793839535975,0.725,opponent_possession_change,138.967,139.067
37,1,12,team_1,team_0,4207,4208,4210,0,3,16,27.679761621917187,7.969350043982772,27.637748635986878,8.048162537297015,-0.042012985930309554,0.07881249331424378,0.089,opponent_possession_change,140.233,140.267
38,12,1,team_0,team_1,4223,4224,4226,0,16,3,26.624835322651307,8.244857773001499,26.589078590484405,8.273112597102015,-0.03575673216690234,0.028254824100516274,0.046,opponent_possession_change,140.767,140.8
39,1,12,team_1,team_0,4226,4229,4231,2,3,20,26.422750505576246,8.477595196307853,26.169517528922515,8.487610502261214,-0.2532329766537309,0.01001530595336142,0.253,opponent_possession_change,140.867,140.967
40,12,1,team_0,team_1,4320,4321,4323,0,8,4,18.75672721622096,12.161256756853602,18.742965792159097,12.008798749189118,-0.01376142406186176,-0.15245800766448347,0.153,opponent_possession_change,144.0,144.033
41,1,12,team_1,team_0,4324,4325,4327,0,4,6,18.519737770499503,11.778665220813926,18.511516380621046,11.706627519391093,-0.00822138987845733,-0.07203770142283261,0.073,opponent_possession_change,144.133,144.167
42,12,1,team_0,team_1,4330,4331,4333,0,6,33,18.68558700709006,12.374201806328822,18.7467526765165,12.422931762189497,0.06116566942644042,0.048729955860675744,0.078,opponent_possession_change,144.333,144.367
43,1,23,team_1,team_1,4433,4476,4478,42,12,3,23.604525965409426,9.152828481645654,27.24044511457613,4.2577271252173645,3.6359191491667033,-4.89510135642829,6.098,same_team_directed_transition,147.767,149.2
44,25,12,team_0,team_0,4642,4677,4679,34,7,21,35.36145715502083,4.691976483230274,37.73105320347973,7.444035165670495,2.3695960484589023,2.7520586824402207,3.632,same_team_directed_transition,154.733,155.9
45,12,11,team_0,team_1,4697,4699,4701,1,21,7,38.138062232511125,9.335983847543758,38.14030236233063,9.298138780634483,0.0022401298195049435,-0.03784506690927536,0.038,opponent_possession_change,156.567,156.633
46,23,1,team_1,team_1,5385,5386,5388,0,7,20,19.887651487598436,8.814349526688916,19.906802672482957,8.822707644216521,0.019151184884520944,0.008358117527604847,0.021,same_team_short_or_stationary_transition,179.5,179.533
47,1,23,team_1,team_1,5405,5409,5411,3,20,15,20.069154726291174,8.763450894174882,20.083531440517966,8.774023691114902,0.014376714226791876,0.010572796940019558,0.018,same_team_short_or_stationary_transition,180.167,180.3
48,23,20,team_1,team_0,5423,5424,5426,0,15,3,20.55701976238808,9.719143005081031,20.613447103662757,9.796363784515494,0.05642734127467719,0.07722077943446237,0.096,opponent_possession_change,180.767,180.8
49,20,1,team_0,team_1,5433,5434,5436,0,6,4,21.033697460220733,10.757017229861322,21.09018112443951,10.889594473349842,0.05648366421877782,0.13257724348851951,0.144,opponent_possession_change,181.1,181.133
50,1,20,team_1,team_0,5437,5439,5441,1,4,5,21.2034563042264,11.123850764250378,21.28428545249378,11.366076741575723,0.08082914826738019,0.24222597732534545,0.255,opponent_possession_change,181.233,181.3
51,20,23,team_0,team_1,5494,5495,5497,0,40,9,23.230083843490764,14.718302669431116,23.229701799404832,14.665502304665281,-0.00038204408593145445,-0.05280036476583483,0.053,opponent_possession_change,183.133,183.167
52,23,1,team_1,team_1,5503,5538,5540,34,9,100,23.39879327793692,14.400267450315416,21.276678379801705,13.529484698600383,-2.122114898135216,-0.8707827517150335,2.294,same_team_directed_transition,183.433,184.6
53,1,15,team_1,team_1,5637,5669,5671,31,100,35,12.921241856582574,12.35276392641464,15.556611666370868,7.181164074332979,2.635369809788294,-5.171599852081662,5.804,same_team_directed_transition,187.9,188.967
54,15,11,team_1,team_1,5737,5779,5781,41,16,33,20.576228181283582,6.262509333454813,27.180821467371306,4.246430842452056,6.604593286087724,-2.016078491002757,6.905,same_team_directed_transition,191.233,192.633
55,22,20,team_0,team_0,6375,6409,6411,33,125,51,22.248384805651078,11.285784058089813,21.005881967753886,10.807110797129692,-1.2425028378971916,-0.47867326096012164,1.332,same_team_directed_transition,212.5,213.633
56,20,17,team_0,team_0,6459,6467,6469,7,51,16,21.915791085265734,11.231810691147238,22.263846244186066,11.537617290719645,0.34805515892033156,0.3058065995724064,0.463,same_team_short_or_stationary_transition,215.3,215.567
57,17,5,team_0,team_0,6602,6636,6638,33,99,48,22.456191766774353,11.434250231640988,27.753951329167922,13.47291491026376,5.297759562393569,2.038664678622773,5.676,same_team_directed_transition,220.067,221.2
58,5,3,team_0,team_1,6683,6692,6694,8,48,3,26.285741128822412,12.604145246267775,24.019763468006705,12.836048306364553,-2.2659776608157074,0.2319030600967782,2.278,opponent_possession_change,222.767,223.067
59,3,19,team_1,team_1,6694,6699,6701,4,3,54,23.729432048159566,12.449162279749553,23.164783476349637,12.792616511876545,-0.5646485718099292,0.34345423212699266,0.661,same_team_directed_transition,223.133,223.3
60,19,17,team_1,team_0,6752,6753,6755,0,54,5,20.713388245786216,13.066904755024831,20.679530494029052,12.965906298439343,-0.03385775175716432,-0.10099845658548823,0.107,opponent_possession_change,225.067,225.1
