global_id,total_distance_m,high_speed_distance_m,peak_speed_mps_p95,valid_steps,valid_duration_sec,eligible_frames,observed_unique_frames,interval_coverage,continuous_segments,collision_frames,out_of_bounds_frames,missing_calibration_frames,short_segment_frames,quality_flags
0,1552.505,499.255,5.157,26972,899.067,27054,27134,0.43621,82,0,1,0,79,out_of_bounds;short_segments_excluded;low_visible_coverage
1,1543.254,633.633,5.961,24365,812.167,24502,24622,0.395827,137,0,17,0,103,out_of_bounds;short_segments_excluded;low_visible_coverage
2,1544.303,740.58,6.354,23646,788.2,23812,24192,0.388914,166,0,97,0,283,out_of_bounds;short_segments_excluded;low_visible_coverage
3,1334.736,583.744,5.733,20349,678.3,20500,20692,0.332647,151,0,38,0,154,out_of_bounds;short_segments_excluded;low_visible_coverage
4,1322.785,728.926,6.954,18857,628.567,19008,19413,0.312086,151,0,163,0,242,out_of_bounds;short_segments_excluded;low_visible_coverage
5,1101.84,435.796,5.3,19134,637.8,19234,19296,0.310205,100,0,7,0,55,out_of_bounds;short_segments_excluded;low_visible_coverage
6,1259.24,600.1,6.036,18132,604.4,18235,18455,0.296685,103,0,87,0,133,out_of_bounds;short_segments_excluded;low_visible_coverage
7,31.063,14.826,3.186,824,27.467,837,17982,0.289081,13,0,16991,0,154,out_of_bounds;short_segments_excluded;low_visible_coverage
8,756.597,292.024,5.168,13312,443.733,13412,17658,0.283872,100,0,3955,0,291,out_of_bounds;short_segments_excluded;low_visible_coverage
9,31.197,16.01,7.211,459,15.3,478,17581,0.282635,19,0,16801,0,302,out_of_bounds;short_segments_excluded;low_visible_coverage
10,1126.916,498.786,6.114,16394,546.467,16472,16593,0.266751,78,0,20,0,101,out_of_bounds;short_segments_excluded;low_visible_coverage
11,1187.075,562.618,6.412,16180,539.333,16283,16461,0.264629,103,0,65,0,113,out_of_bounds;short_segments_excluded;low_visible_coverage
12,1060.062,526.272,6.562,15591,519.7,15712,16307,0.262154,121,0,345,0,250,out_of_bounds;short_segments_excluded;low_visible_coverage
13,983.048,446.051,5.953,15602,520.067,15694,15785,0.253762,92,0,21,0,70,out_of_bounds;short_segments_excluded;low_visible_coverage
14,996.116,391.619,5.886,15306,510.2,15371,15563,0.250193,65,0,82,0,110,out_of_bounds;short_segments_excluded;low_visible_coverage
15,947.862,472.538,6.349,13516,450.533,13643,14121,0.227011,127,0,295,0,183,out_of_bounds;short_segments_excluded;low_visible_coverage
16,839.332,410.916,6.077,12016,400.533,12110,13119,0.210903,94,0,808,0,201,out_of_bounds;short_segments_excluded;low_visible_coverage
17,814.163,428.165,5.964,11624,387.467,11718,12581,0.202254,94,0,730,0,133,out_of_bounds;short_segments_excluded;low_visible_coverage
18,760.778,382.506,5.952,12414,413.8,12497,12537,0.201547,83,0,2,0,38,out_of_bounds;short_segments_excluded;low_visible_coverage
19,739.97,297.014,5.569,11507,383.567,11599,11702,0.188123,92,0,3,0,100,out_of_bounds;short_segments_excluded;low_visible_coverage
20,765.956,334.03,5.912,11353,378.433,11414,11444,0.183975,61,0,0,0,30,short_segments_excluded;low_visible_coverage
21,0.0,0.0,0.0,0,0.0,0,11374,0.18285,0,0,11356,0,18,out_of_bounds;short_segments_excluded;low_visible_coverage;no_valid_steps
22,771.25,353.787,6.421,11102,370.067,11163,11280,0.181339,61,0,24,0,93,out_of_bounds;short_segments_excluded;low_visible_coverage
23,789.244,370.977,6.813,9786,326.2,9874,10003,0.16081,88,0,26,0,103,out_of_bounds;short_segments_excluded;low_visible_coverage
24,20.283,8.668,6.838,299,9.967,304,9660,0.155295,5,0,9294,0,62,out_of_bounds;short_segments_excluded;low_visible_coverage
25,587.742,285.403,5.769,9074,302.467,9176,9595,0.154251,102,0,228,0,191,out_of_bounds;short_segments_excluded;low_visible_coverage
26,528.595,229.452,5.788,8452,281.733,8527,8806,0.141566,75,0,119,0,160,out_of_bounds;short_segments_excluded;low_visible_coverage
27,82.319,46.932,5.751,1242,41.4,1257,7370,0.118481,15,0,6100,0,13,out_of_bounds;short_segments_excluded;low_visible_coverage
28,3.047,2.436,7.069,26,0.867,28,6781,0.109012,2,0,6653,0,100,out_of_bounds;short_segments_excluded;low_visible_coverage
29,425.115,188.798,5.967,6597,219.9,6649,6712,0.107903,52,0,10,0,53,out_of_bounds;short_segments_excluded;low_visible_coverage
30,32.43,16.11,5.804,660,22.0,672,6534,0.105041,12,0,5807,0,55,out_of_bounds;short_segments_excluded;low_visible_coverage
31,193.106,73.798,3.511,5798,193.267,5864,6290,0.101119,66,0,349,0,77,out_of_bounds;short_segments_excluded;low_visible_coverage
32,435.851,210.126,6.049,5919,197.3,5990,6170,0.09919,71,0,92,0,88,out_of_bounds;short_segments_excluded;low_visible_coverage
33,0.0,0.0,0.0,0,0.0,0,5464,0.08784,0,0,5453,0,11,out_of_bounds;short_segments_excluded;low_visible_coverage;no_valid_steps
34,6.684,4.103,6.856,83,2.767,87,5459,0.08776,4,0,5249,0,123,out_of_bounds;short_segments_excluded;low_visible_coverage
35,143.177,57.034,4.679,3420,114.0,3458,5178,0.083242,38,0,1565,0,155,out_of_bounds;short_segments_excluded;low_visible_coverage
36,0.0,0.0,0.0,0,0.0,0,3388,0.054466,0,0,3375,0,13,out_of_bounds;short_segments_excluded;low_visible_coverage;no_valid_steps
37,0.0,0.0,0.0,0,0.0,0,3329,0.053517,0,0,3275,0,54,out_of_bounds;short_segments_excluded;low_visible_coverage;no_valid_steps
38,159.771,75.357,5.354,2558,85.267,2581,2940,0.047264,23,0,306,0,53,out_of_bounds;short_segments_excluded;low_visible_coverage
