global_id,team,predicted_number,confidence,status,support_frames,support_count,method,decision_rule,winner_margin,head_confidence
0,yellow,,0.99651615,unreadable,42677,1,boss_document_compatible_multiframe_ocr_fusion,boss_compatible_evidence_gate_not_met,0.01807399,0.52758764
1,yellow,,0.95863506,unreadable,7850,1,boss_document_compatible_multiframe_ocr_fusion,boss_compatible_evidence_gate_not_met,0.07970945,0.64062124
2,blue,,0.9986155,unreadable,26775,1,boss_document_compatible_multiframe_ocr_fusion,boss_compatible_evidence_gate_not_met,0.00027004,0.50037409
3,yellow,,0.56483612,unreadable,7161;24317,2,boss_document_compatible_multiframe_ocr_fusion,boss_compatible_evidence_gate_not_met,0.04943518,0.5634402
4,blue,,0.84924919,unreadable,15333,1,boss_document_compatible_multiframe_ocr_fusion,boss_compatible_evidence_gate_not_met,0.02301771,0.51696077
5,blue,23,0.99878133,confirmed,11729;26880,2,boss_document_compatible_multiframe_ocr_fusion,boss_compatible_two_frame_confirmation,0.14469281,0.66642863
6,yellow,2,0.78797794,confirmed,44400;51670,2,boss_document_compatible_multiframe_ocr_fusion,boss_compatible_two_frame_confirmation,0.11090766,0.62170658
7,nonplayer,,0.42097037,nonplayer,491;41824;52898,3,boss_document_compatible_multiframe_ocr_fusion,semantic_team_label_nonplayer,0.39870057,0.74996291
8,yellow,,0.50031641,unreadable,26733,1,boss_document_compatible_multiframe_ocr_fusion,boss_compatible_evidence_gate_not_met,0.07878489,0.54660568
9,nonplayer,,0.15829622,nonplayer,52848,1,boss_document_compatible_multiframe_ocr_fusion,semantic_team_label_nonplayer,0.01803082,0.51093702
10,blue,,0.9969266,unreadable,26900,1,boss_document_compatible_multiframe_ocr_fusion,boss_compatible_evidence_gate_not_met,0.00068504,0.50173296
11,yellow,,0.8636551,conflict,18602;51441,2,boss_document_compatible_multiframe_ocr_fusion,competing_numbers_have_independent_frame_support,0.07987731,0.61616317
12,blue,,0.99999874,unreadable,14054,1,boss_document_compatible_multiframe_ocr_fusion,boss_compatible_evidence_gate_not_met,0.00237459,0.50334546
13,blue,,0.999456,unreadable,12827,1,boss_document_compatible_multiframe_ocr_fusion,boss_compatible_evidence_gate_not_met,0.01990291,0.53736309
14,blue,,0.82015737,conflict,11160;23853,2,boss_document_compatible_multiframe_ocr_fusion,competing_numbers_have_independent_frame_support,0.0198773,0.54036354
15,yellow,,0.09018555,unreadable,25260;33388,2,boss_document_compatible_multiframe_ocr_fusion,boss_compatible_evidence_gate_not_met,0.06861832,0.55757166
16,yellow,,0.83033973,unreadable,53707,1,boss_document_compatible_multiframe_ocr_fusion,boss_compatible_evidence_gate_not_met,0.00294453,0.50273877
17,blue,,0.97417588,conflict,33060;39843,2,boss_document_compatible_multiframe_ocr_fusion,competing_numbers_have_independent_frame_support,0.06389238,0.55608715
18,blue,2,0.52615559,tentative,3046;14011;54295,3,boss_document_compatible_multiframe_ocr_fusion,boss_compatible_fleeting_multiframe_candidate,0.11126378,0.61305061
19,yellow,,0.71491025,unreadable,59401,1,boss_document_compatible_multiframe_ocr_fusion,boss_compatible_evidence_gate_not_met,0.0399112,0.54126716
20,blue,,0.93961302,conflict,10666;10675,2,boss_document_compatible_multiframe_ocr_fusion,competing_numbers_have_independent_frame_support,0.07238903,0.60353216
21,yellow,,0.5875104,unreadable,48198;48301,2,boss_document_compatible_multiframe_ocr_fusion,boss_compatible_evidence_gate_not_met,0.32733398,0.68021192
22,blue,,0.33423668,unreadable,14196;17451;61907,3,boss_document_compatible_multiframe_ocr_fusion,boss_compatible_evidence_gate_not_met,0.00093233,0.50154049
